SMILES,QED,MW,Training_Affinity,Validated_Affinity
CC(C)CNC(=O)Nc1ccc2nnc(-c3cc(C(F)(F)F)cc(C(F)(F)F)c3)n2n1,0.5738,446.355,-9.080400000000001,-9.099
CCn1nc(C(F)(F)F)c2cc(C(=O)N3CCN(Cc4ccco4)CC3)ccc21,0.6642,406.408,-9.0396,-9.024
COc1cccc(N2CC(C(=O)Nc3ccc(S(=O)(=O)c4ccccc4)cc3)CC2=O)c1,0.6204,450.516,-8.9844,-9.011
CC(CC(=O)N1CCc2ccc(C(F)(F)F)cc2C1)c1ccc(O)cc1,0.8729,363.379,-8.9184,-8.955
CC(=O)Nc1ccc(F)c(C(=O)NS(=O)(=O)c2ccccc2Cl)c1,0.8646,370.789,-8.8884,-8.945
Cc1ccc(-c2noc(C(=O)NCCNC(=O)CCc3ccc(F)c(F)c3)n2)cc1,0.5527,414.412,-8.8404,-8.943
O=C(Nc1ccccn1)C1CCCC1c1ccc(-c2cccc(C(=O)N3CCCC3)c2)cc1,0.5704,439.559,-8.7708,-8.903
Cc1cc(C)c2oc(N3CCCC(C(=O)Nc4cccc(C(F)(F)F)c4)C3)nc2c1,0.6268,417.431,-8.892,-8.89
Cc1cccc(CC(=O)N2CCN(c3cc(Nc4ncccc4C)nc(C)n3)CC2)c1,0.6869,416.529,-8.8944,-8.879
O=C(Nc1ccc(S(=O)(=O)Nc2cccc(Cl)c2)cc1)C1CC(=O)N(c2ccccc2F)C1,0.5424,487.94,-8.827200000000001,-8.877
CC(C)C(=O)Nc1ccc(NC(=O)C2CCC(Nc3nccc(C(F)(F)F)n3)CC2)cc1,0.5942,449.477,-8.712,-8.847
N#Cc1cc(F)cc(NC(=O)c2cc(Cl)ccc2C#Cc2cccnc2)c1,0.6751,375.79,-8.826,-8.827
Cc1ccc(NS(=O)(=O)c2ccc(C(=O)N3CCC(Cc4ccccc4)CC3)cc2)c(C)c1,0.5476,462.615,-8.8584,-8.825
Cn1cc(-c2nc3c(c(N4CCOCC4)n2)C(=O)NS(=O)(=O)N3)cn1,0.7009,365.375,-8.850000000000001,-8.824
O=C(NCc1cccnc1)c1cccc(S(=O)(=O)Nc2cccc(C(F)(F)F)c2)c1,0.6161,435.427,-8.7636,-8.786
Cc1c(Br)c(C(F)(F)F)nn1CC(=O)N1Cc2nc3ccccc3nc2C(C)C1,0.5694,468.277,-8.7624,-8.785
Cc1ccncc1NC(=O)c1cc(C(F)(F)F)nc2c1c(=O)n(C)c(=O)n2C,0.7133,393.325,-8.754000000000001,-8.745
Cc1cc(Nc2nc(-c3ccco3)c3n[nH]nc3n2)on1,0.586,283.251,-8.731200000000001,-8.727
Cc1cc(C)cc(N2CCN(C(=O)c3cc(-c4ccc(C)cc4C)[nH]n3)CC2)c1,0.7289,388.515,-8.7492,-8.71
Cc1c(C(=O)Nc2ccc(Cl)cc2C(=O)O)oc2ccccc12,0.7485,329.739,-8.7096,-8.63
