SMILES,SMILES_state,NLL
C=CCNc1nc(OC)cn1N(C=O)CC,1,38.45
Cc1cnc(-c2ccccn2)nc1C(=O)Nc1ccc(OC(F)(F)F)cc1,1,29.28
COc1ccc(Br)cc1NCC(=O)c1c[nH]c2ccccc12,1,27.22
Cc1cc2c(c(C)c1OC(=O)NCc1ccc(C#N)cc1)CC1(CCN(C(=O)OC(C)(C)C)CC1)N(C1CCC(=O)NC1=O)C2=O,1,57.03
C=C(C)C(C)(C)c1ccc(-c2cccc(-c3ccncc3)c2)cc1,1,34.33
CN1C(=O)CC(NCc2cnc[nH]2)C1=O,1,25.14
O=C(Nc1cccc(C(F)(F)F)c1)C(Sc1n[nH]c(=O)s1)c1ccccc1,1,33.37
Cn1ncc2ccc(C(=O)NC3(C(=O)O)CCCCCC3)cc21,1,28.4
CCN(c1ncc(C(=O)Nc2cccc(Br)c2)cn1)C1CCS(=O)(=O)C1,1,29.97
CC(OC(=O)C=Cc1cc(Br)cc2c1OCCO2)C(=O)Nc1ccccc1C(C)C,1,31.57
O=Cc1ccc(Oc2ccc(S(=O)(=O)NCC3CC3)cc2)c2ncccc12,1,37.17
c1ccc(-c2cc(-c3ccccc3)nc(-c3ccc(-n4c5ccccc5c5cc(-n6c7ccccc7c7ccccc76)ccc54)cc3)n2)cc1,1,29.6
CCCCCCCCCC(OC)(OCC1CO1)OC(C)C,1,43.93
C(Sc1c2ccccc2nc2cc3c(cccc3)c-21)#C,0,40.87
COc1cc2c(c3c1OCCO3)OC1(CCNCC1)N2C(=O)OC(C)(C)C,1,37.97
CCCC(=O)N1CCC(c2ccc(NC(=O)CSc3ccc(F)cc3)cc2)CC1,1,32.91
O=[N+]([O-])c1ccc(Oc2ccc(NC3CCCCC3)cc2)cc1,1,26.45
CNCCC1(C)CCN(c2ccc(S(=O)(=O)Nc3cscn3)s2)CC1,1,41.17
CNc1cc(N(C)CC(=O)N(C)C)nc(C(C)C)n1,1,25.29
CC(C)C1CCCN(C(=O)c2ccnc(N(C)C)c2)CC1,1,28.1
O=c1c2ccccc2oc2ncnc(N3CCNCC3)c12,1,28.53
CCNC(C)(C)C(=O)Nc1cc(CC)on1,1,27.23
COc1ccc(NC(=O)OC2(C(C)NCc3ccc(OC)cc3OC)CCc3cc(C)ccc3C2)cc1,1,54.25
CCOc1cc(C=C2C(=O)NC(=O)N(c3ccc(C)cc3)C2=O)ccc1OC,1,27.64
C=CCN(CCN(C)C)C(=O)C1(C)CCCCN1,1,25.26
Cc1nn(C)c(C)c1NC(=O)C(=O)O,1,23.42
COc1c(O)cc2c(c1Br)OCO2,1,26.03
CCOc1ccc(CN2CCN(c3ccc(N4CC(CNC(C)=O)OC4=O)cc3Cl)CC2)cc1,1,33.81
CN1CCN(C2CCCC(C)(C)C2O)CC12CCCNC2=O,1,37.06
CCCOC(=O)C1=C2CC3CC(C1)CC2C3,1,29.27
COc1cncc2cc(CC(=O)NCC3CNNC(=O)C3)c(=O)oc12,1,49.99
CC1(CCCc2ccccc2)NC(=O)N(c2cccc(Cl)c2)C1=O,1,31.23
CC(C)(C)OC(=O)C=C(c1ccccc1)N1CCC(c2nc3cc(OC(F)(F)F)ccc3s2)N(C2CCN(C(=O)Oc3ccccc3)CC2)CC1,1,65.98
CC=Cc1c(C2=CC(c3ccc(N(c4ccc(-c5ccccc5)cc4)c4ccc5ccccc5c4)cc3)=CCC2)ccc(C2CCC(N(C)C3=CC=CC4CC=CC=C34)CC2)c1C1=CCCC(C)=C1,1,83.14
COc1cc(C2CCCN2)oc(=O)c1-c1cn2sc3ncccc3c2n1,1,50.91
CCCCCCC1=CC(C)c2sc(C)nc21,1,37.55
CCC(CCCCCCC(C)(C)OC(=O)CCCN(C)C)OC(=O)NCCOC,1,48.23
CNC1CCCc2nc(Cl)c(Br)cc21,1,24.59
CC(C)CCNC(=O)c1snnc1-c1ccc(Cl)cc1Cl,1,29.37
CC(C)c1ccc(NC(=S)NCCCOC2CCCCC2)cc1,1,24.75
COC1=CCSC2=C1C=NC(NCc1c(C(=O)O)n(C)c3cc(OC)ccc13)=CC2,1,62.07
O=C1CC(c2ccc(OC(=O)c3ccccc3)cc2)c2cc3ccc(NS(=O)(=O)c4ccccc4)cc3cc2N1,1,43.36
COc1ccc(C2CC3c4ccccc4C=CN3C2=O)cc1OC,1,32.63
Cc1ccc(S(=O)(=O)OC2C(C)C(C)C(C)C(C)C2CCC2COC(c3ccccc3)OC2)cc1,1,55.45
O=C(NC1CCN(C2CCSC2)CC1)c1cc(F)ccc1F,1,29.35
CCCC(C)CCSc1cc2cc(C(=O)Nc3cc(N)nc(N)n3)ccc2cc1N=Nc1ccc(N2C(=O)c3ccccc3C2=O)cc1,1,63.53
CCCN1CCC(O)CC1C,1,22.43
Cn1ccc(CC(=O)NCc2ccn(CC(=O)Nc3ccccc3)n2)c1,1,38.46
O=C(NCc1cccnc1)c1ccc(CC23CCCN2C(=O)N(Cc2cccs2)C3)cc1,1,43.56
CC(C)(C)OC(=O)Nc1cc(F)ccc1NC(=O)c1ccc2c(c1)OCCO2,1,31.26
CC(O)CN(C)C(=O)C1CCN(S(=O)(=O)c2ccc3c(c2)OCCO3)CC1,1,30.1
CCCCC1CN(C2CCC(N)CC2)CCC1C,1,28.97
CCN(CCC#N)C(=O)c1cccc(N)n1,1,26.32
NC(=S)N(N)N=Cc1ccc(O)cc1,1,25.55
CC(SCc1nc2c(Cl)cccc2n1C)C(=O)O,1,31.53
CCOC1CCN(Cc2ccc(NC(=O)C3CC3)cc2)CC1,1,26.94
O=C1CCc2ccc(OCc3ccccc3)cc21,1,23.21
CCc1cc2ccc(-c3ccc(COC(=O)NC)cc3)nn2c1C(=O)OC(C)C,1,50.2
CCCC1NC(=O)CN(CC2CCCCO2)C1=O,1,25.17
COc1cc(C(O)Cc2ccncn2)ccc1Br,1,28.33
COc1cc(CSc2ccc(C)cc2)cc(C(=O)O)c1C,1,33.13
COCC(O)(O)C(C)=O,1,25.33
CC1CCCN(C(=O)c2cc(Nc3cccc(NC(=O)C(C)C)c3)n3nccc3n2)C1,1,44.07
CCOC(=O)C1=C(C)Nc2ncnn2C1c1ccc(OC)cc1,1,23.97
CC1(n2cnc3cccnc32)CCNCC1,1,26.76
O=C(NCCCN1CCOCC1)c1csc2nccn12,1,25.86
COCCN1c2c(Br)cccc2CC1C(=O)O,1,27.75
Cc1cccc(CN2CCc3c(nc4c5ccccc5ccn34)C2)n1,1,35.83
CC1C(N(NS(=O)(=O)c2coc3ccc(Cl)cc23)S(=O)(=O)c2ccc(Cl)s2)CC1(C)c1cc(C(F)(C(F)(F)F)C(F)(F)F)cs1,1,81.08
C(OCCOC)COCNC1CCN(CC1)c1ccc(CN2CCN(CC2)c2cc(Cc3ccccc3)c3c(N)non3n2)cc1,0,64.9
CCC(C)NCC(=O)N1CCCC(C)C1C,1,24.97
Cc1ccc(S(=O)(=O)ON2CCC(c3nccn3C(=O)Oc3ccccc3)CC2)cc1,1,40.33
O=C1CC(c2ccc(F)cc2)C=NN1,1,21.79
CCCCCCCCCCCCCCCC(=O)CCC1OC(OC2C(CO)OC(OC(=O)CCCCCCCCCCCCCCC)C(C(=O)O)C2OC(C)C(O)OC(=O)CCC(=O)ON)C(O)C1O,1,95.3
Cc1nn2ccccc2c1-c1cc(Cl)cc(Cl)c1Cl,1,31.75
NCCCNc1cccc2c1C(=O)N(CCc1ccc(F)cc1)C2=O,1,29.82
CC(Cc1ccccc1)NC(=O)CO,1,23.75
CC1COCCN1c1cc(C(=O)NCC2CN(C(=O)c3ccc4ccccc4c3)Cc3ccsc32)ccn1,1,54.23
CN=C(NC1CC1c1ccnc(F)c1)N(C)C,1,36.53
C#CCC=Cc1ccc(=O)[nH]c1,1,25.84
CSc1cccc(NC(=O)C(C)N(c2cccc(C)c2)S(=O)(=O)c2ccccc2)c1,1,30.49
O=C(Cc1csc(-c2ccccc2Br)n1)NCc1cccc(COCc2ccccc2)c1,1,30.68
COC(=O)c1cnn(C)c1S(=O)(=O)N1CCN(Cc2cnc(-c3ccccc3)o2)CC1,1,37.44
NCC(=O)Nc1ccc(C(=O)NNC(=O)C2CCCCC2)cc1,1,27.99
CCOC(=O)N1CCC(NC(=O)C2CN(C)c3ccccc3O2)CC1,1,28.45
CCC(=O)N1CCCCCC1c1nc(CS(C)(=O)=O)no1,1,35.49
c1ccsc1C(N1CCc2c(NS(=O)(=O)c3ccccc3C)nn3ccccc32C1)=O,0,42.99
CCOc1ccc(C=C2Oc3c(cc4c(c3CNCCO)CN(Cc3cccnc3)CO4)C2=O)cc1,1,39.34
CCC(B1CC(C)CC(=O)N1C)C(CC)C(N)=O,1,52.2
CC(C)(C(=O)Nc1ccc(Br)cc1)C(=O)Nc1ccccc1C(F)(F)F,1,27.8
CC1(O)CCN(C(=O)c2ccnc(Nc3ccccc3C#N)c2)CC1,1,29.9
O=C(CCCS(=O)(=O)c1ccc(F)cc1)N(Cc1ccccc1)c1nc2c(Cl)cc(Cl)cc2s1,1,30.04
Cc1nc(-c2cc[nH]c2)sc1C(=O)Nc1c(Cl)cccc1Cl,1,32.53
COc1cc(NC(=O)CCl)cc(Br)c1OC,1,24.96
C=CCCSSC(OS(=O)(=O)C(F)(F)F)(C(=O)OCC)C(F)(F)F,1,36.95
CCc1cc(C(=O)O)c(Nc2cc(C(C)(C)C)ccc2O)s1,1,35.13
CCc1ccc(S(=O)(=O)CC2CCCNC2)c(F)c1,1,28.4
CC(C)CN1CCN(CCC(=O)c2ccc(Cl)cc2)CC1,1,25.34
OC1CCC(Nc2cccc(C(F)(F)F)c2)CC1,1,23.02
CCC=CCC=CCC=CCC=CCC=CCCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,1,28.04
C(OC(C)=O)Cn1c2N[C@@H]3C[C@@H](c4ccc(cc4)C(C)(C)C)CC(=O)N3n2c(=O)cc1=O,0,53.91
c1ccc(COc2c(C(=O)C)n3c(c(C(=O)OCC(OC)=O)ccc3-c3ccc(Cl)c4ccccc34)c([B])c2)cc1,0,70.79
CC(NCc1ccc(S(=O)(=O)N2CCCCC2(C)C#N)cc1)c1ccncc1,1,39.67
Cc1ccc(-c2noc(C3=NCCN3)n2)s1,1,27.18
COC(=O)C1CC(F)CN1,1,20.45
CCc1nnc(-c2ccc(C(=O)NCCCc3nccn3C)cc2)o1,1,32.18
COc1ccc(Cl)c(NC(=O)c2cccc(-c3cc(N4CCNCC4)c4c(=O)n(C)c(=O)n(C)c4n3)c2)c1,1,47.79
COCc1nc(-c2ccccc2C)oc1CNC1CC1,1,28.23
CCNCc1cc(N(C)CCCCCO)cnc1Cl,1,31.42
CCCNc1ccc(C)c(C(=O)N(CC(N)=O)C(C)C)c1,1,33.1
CCOc1ccc(NC(=O)CSc2nnc(C3CC3)n2CC)cc1,1,24.15
CC(C)N1CCN(C(=O)N2CC3NCCCC3C2c2ccccc2F)CC1,1,40.91
CC1CC(N)C(C(=O)O)C1,1,27.87
CC(C)CN(c1cncc(NN)n1)C1CC1,1,23.52
NNC(=O)c1ccsn1,1,22.69
O=c1c2ccccc2nc(CCCO)n1-c1ccc(C(F)(F)F)cc1F,1,34.23
CCCOc1ccc(C=NNC(=O)C2CSC(=S)N2)cc1,1,32.75
CN(Cc1cccc([N+](=O)[O-])c1Cl)CC(F)(F)F,1,24.18
