GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
2501,47361415.4,2719.85,1820.6,5573802.65,249.28,-62.34,-1017.25,-11815.55,510.09,8659.02,-3208.66,119.17,52936281.76,-3089.5,52933192.27
2526,47131634.06,3071.16,1824.65,5526781.63,291.4,-72.09,-1004.54,-11854.76,496.69,8627.77,-3151.38,120.22,52659795.99,-3031.16,52656764.83
2551,47448868.72,2797.62,1854.73,5573295.59,152.7,-74.65,-984.62,-11888.02,524.0,8640.71,-3153.72,120.54,53023186.77,-3033.19,53020153.58
2576,47365222.38,2835.81,1820.86,5588233.34,214.32,-52.23,-992.18,-11799.57,534.2,8634.92,-3234.99,122.58,52954651.84,-3112.41,52951539.43
2601,47141254.94,3113.39,1804.93,5465394.46,119.88,-71.67,-984.41,-11807.01,506.33,8619.65,-3234.9,119.1,52607950.48,-3115.79,52604834.69
2626,47306867.88,2871.93,1817.45,5475249.02,100.48,-60.37,-1024.21,-11984.77,526.02,8675.64,-3067.5,119.06,52783039.07,-2948.44,52780090.63
2651,47192792.59,3005.49,1832.66,5585429.44,346.89,-95.45,-1004.82,-11982.9,523.05,8622.18,-3043.88,118.75,52779469.13,-2925.14,52776543.99
2676,47321704.77,2856.93,1850.93,5535912.66,110.89,-72.28,-1019.19,-11745.88,522.04,8633.8,-3263.45,121.41,52858754.66,-3142.04,52855612.62
2701,47229644.47,2763.54,1857.14,5455875.24,159.38,-49.01,-1021.1,-11736.56,526.58,8611.94,-3240.56,119.64,52686631.6,-3120.92,52683510.68
2726,47170824.38,3098.49,1839.45,5491349.46,156.27,-69.83,-1009.32,-11874.52,533.68,8686.29,-3174.03,120.95,52663534.36,-3053.08,52660481.28
2751,47074794.29,2927.54,1851.7,5485773.78,293.15,-78.91,-1010.4,-11675.34,513.83,8561.19,-3273.62,121.15,52561950.84,-3152.47,52558798.37
2776,47090901.81,2999.55,1833.96,5544922.66,918.7,-85.45,-1005.87,-11850.41,526.62,8620.58,-3193.13,122.33,52637782.17,-3070.8,52634711.37
