GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
2501,54749034.31,3141.99,1841.79,5287430.64,511.32,-116.62,-989.44,-11576.81,509.92,8697.56,-3485.6,119.45,60038484.68,-3366.16,60035118.52
2526,54703566.38,3267.69,1837.83,5198077.36,449.4,-102.89,-1018.2,-11549.19,494.62,8602.26,-3429.15,118.52,59903625.27,-3310.63,59900314.64
2551,54469253.75,3018.53,1846.27,5210888.76,710.57,-118.58,-1003.84,-11552.28,516.93,8567.26,-3431.83,119.62,59682127.36,-3312.21,59678815.15
2576,54521404.96,2915.04,1865.45,5218562.13,1270.72,-127.71,-1030.27,-11640.19,511.32,8708.46,-3374.87,118.62,59742439.91,-3256.25,59739183.66
2601,54631626.61,3062.19,1845.83,5228202.74,949.27,-128.82,-1040.08,-11614.9,511.82,8695.4,-3417.82,116.68,59862110.06,-3301.15,59858808.91
2626,54530356.07,2852.87,1853.2,5192209.28,783.28,-125.0,-1029.22,-11711.88,510.36,8703.42,-3329.83,119.29,59724402.36,-3210.53,59721191.83
2651,54658064.97,3210.91,1858.97,5189478.41,370.72,-94.43,-1026.71,-11692.67,518.38,8699.1,-3370.2,118.5,59849387.64,-3251.7,59846135.95
2676,54644251.05,2796.32,1878.61,5203514.57,460.89,-98.09,-1033.32,-11618.98,514.52,8709.25,-3427.63,117.14,59849374.81,-3310.49,59846064.33
2701,54628557.31,2862.5,1878.8,5229336.86,1174.68,-114.18,-1019.42,-11539.09,507.16,8589.69,-3396.21,116.73,59860234.3,-3279.48,59856954.82
2726,54469535.03,2917.71,1845.38,5165567.51,1056.36,-114.45,-1007.44,-11574.18,516.31,8630.68,-3437.57,117.93,59637372.93,-3319.64,59634053.29
2751,54649284.15,2843.08,1851.25,5230635.82,969.86,-108.77,-1003.34,-11511.49,497.82,8674.68,-3505.86,120.19,59882133.04,-3385.67,59878747.37
2776,54690058.25,3008.76,1830.84,5210799.48,969.12,-103.46,-1034.12,-11675.13,525.17,8691.8,-3364.79,116.86,59903070.7,-3247.93,59899822.78
2801,54775635.71,2691.89,1801.2,5237428.15,1099.84,-96.39,-1029.62,-11624.27,525.39,8683.84,-3338.59,118.61,60015115.73,-3219.97,60011895.76
2826,54633619.14,2914.35,1846.04,5241930.36,896.0,-104.66,-995.92,-11763.24,507.57,8657.84,-3282.35,118.71,59877507.48,-3163.64,59874343.85
2851,54558113.0,2971.41,1834.04,5201897.58,863.83,-94.8,-1024.74,-11677.97,486.13,8627.69,-3308.75,118.79,59761996.17,-3189.96,59758806.21
2876,54559783.1,2910.07,1880.65,5197884.62,1105.15,-122.12,-1035.18,-11617.87,518.37,8692.44,-3393.45,120.19,59759999.21,-3273.26,59756725.96
2901,55069856.28,2494.95,1837.57,5267952.6,609.41,-94.4,-974.27,-11495.18,515.38,8641.47,-3526.04,121.19,60339343.8,-3404.85,60335938.96
2926,55058206.63,2788.85,1859.06,5226960.63,281.85,-124.92,-982.55,-11525.2,515.47,8647.11,-3498.75,124.32,60286626.94,-3374.44,60283252.5
2951,55063669.39,2550.87,1845.41,5240679.37,239.75,-117.35,-979.47,-11500.66,521.96,8628.69,-3499.48,124.5,60305537.97,-3374.98,60302162.99
2976,54997432.88,2762.37,1835.93,5228080.65,197.97,-93.55,-990.52,-11549.2,508.42,8601.22,-3457.24,119.85,60226786.18,-3337.38,60223448.8
3001,55215989.01,2748.45,1834.25,5224206.08,117.19,-117.06,-994.0,-11656.56,502.72,8609.01,-3360.5,120.17,60441239.08,-3240.33,60437998.75
3026,55084947.63,2631.75,1836.95,5246289.46,125.99,-108.28,-981.63,-11705.23,496.73,8654.54,-3358.52,122.77,60332187.91,-3235.75,60328952.16
3051,54947356.08,2877.94,1869.39,5201445.28,103.15,-122.82,-996.53,-11869.8,521.04,8659.32,-3165.27,122.44,60149843.05,-3042.83,60146800.23
3076,54947383.63,2687.27,1860.46,5222229.51,133.06,-118.96,-996.39,-11684.01,502.93,8625.06,-3345.09,125.46,60170622.57,-3219.63,60167402.94
3101,54734611.13,2707.53,1839.81,5199529.08,207.17,-106.47,-1002.01,-11662.78,496.74,8558.39,-3298.15,124.64,59935178.58,-3173.51,59932005.07
3126,54762610.25,3028.35,1884.82,5214125.89,760.77,-94.79,-1001.48,-11823.02,505.24,8640.48,-3236.29,120.58,59978636.51,-3115.71,59975520.81
3151,54919057.6,2764.9,1858.73,5212581.02,366.75,-110.05,-1016.1,-11603.85,506.76,8675.97,-3437.58,121.76,60133081.71,-3315.82,60129765.89
3176,54737508.13,2801.28,1857.71,5171941.36,379.44,-107.89,-1017.71,-11681.26,510.54,8635.53,-3333.69,119.44,59910827.13,-3214.25,59907612.88
3201,55068423.35,2895.73,1870.69,5207755.63,106.45,-90.15,-1017.96,-11777.43,527.76,8648.78,-3251.39,118.24,60277342.85,-3133.16,60274209.69
3226,54962189.1,3054.79,1853.39,5199974.61,103.93,-104.89,-1027.82,-11804.4,514.61,8644.14,-3225.71,118.09,60163397.48,-3107.61,60160289.87
3251,55014972.34,2749.82,1838.72,5227445.63,136.32,-91.76,-1035.36,-11808.27,528.68,8663.59,-3251.15,116.98,60243399.7,-3134.17,60240265.53
3276,55028247.89,2700.93,1862.33,5223472.8,228.77,-118.99,-997.11,-11839.41,479.15,8580.96,-3174.44,120.76,60252617.32,-3053.69,60249563.64
3301,55023069.34,2685.72,1879.14,5223214.95,213.09,-134.43,-992.03,-11870.72,506.79,8605.16,-3157.17,119.78,60247177.01,-3037.39,60244139.61
3326,54837752.46,2886.22,1851.42,5177683.34,101.31,-126.91,-1026.94,-11673.11,517.92,8598.38,-3281.48,119.1,60016564.11,-3162.38,60013401.73
3351,54941399.7,2790.81,1845.66,5199536.58,92.05,-109.92,-1017.16,-11598.48,523.83,8608.05,-3391.03,120.37,60142071.12,-3270.66,60138800.46
3376,54788597.94,2977.97,1854.7,5170737.71,103.61,-90.11,-1024.66,-11694.03,512.53,8682.06,-3386.81,119.38,59960657.73,-3267.44,59957390.29
3401,55004495.58,2785.0,1857.51,5215587.93,144.34,-129.98,-1009.97,-11649.09,524.96,8649.17,-3394.64,120.07,60221255.45,-3274.57,60217980.87
